"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01006616",1,47.595
"E01007367",2,43.601
"E01007376",1,50.854
"E01006594",9,7.072
"E01007489",4,21.754
"E01007203",7,12.143
"E01006901",6,17.226
"E01007248",6,15.714
"E01001538",8,11.124
"E01006916",3,27.781
"E01027969",3,27.642
"E01007023",8,9.44
"E01007212",4,25.545
"E01007332",1,45.706
"E01007308",8,9.32
"E01006930",5,19.993
"E01007372",1,59.413
"E01007264",9,8.607
"E01007120",1,47.063
"E01007298",8,9.96
"E01005962",5,19.511
"E01006035",3,31.446
"E01005228",1,69.965
"E01005248",4,22.542
"E01004419",5,21.127
"E01004344",3,30.519
"E01005899",5,18.461
"E01004467",3,29.626
"E01005506",3,30.094
"E01005511",4,24.401
"E01006067",8,10.531
"E01006019",1,56.235
"E01005990",6,15.964
"E01005998",3,32.166
"E01005617",5,19.737
"E01004342",4,22.387
"E01004362",4,23.288
"E01005886",2,37.422
"E01004364",3,32.04
"E01027426",1,56.1
"E01027303",9,6.791
"E01027307",10,5.863
"E01027536",6,17.551
"E01003951",6,16.049
"E01004426",4,25.371
"E01004463",6,14.978
"E01003932",2,38.967
"E01005727",3,27.106
"E01005794",10,2.841
"E01005682",1,75.302
"E01006158",3,28.937
"E01003752",7,12.74
"E01004172",5,20.888
"E01004328",4,23.151
"E01004036",3,31.501
"E01028620",7,12.557
"E01004077",7,13.521
"E01004050",6,14.511
"E01028088",10,5.651
"E01028113",2,39.329
"E01028009",9,8.486
"E01028068",1,52.414
"E01028120",9,6.172
"E01028147",3,32.543
"E01028114",4,22.738
"E01027889",5,17.84
"E01027930",1,48.797
"E01027838",8,9.825
"E01027855",10,4.976
"E01006028",1,53.791
"E01005536",3,32.041
"E01027894",9,7.308
"E01027927",3,29.766
"E01028530",6,17.584
"E01028711",10,5.764
"E01028445",3,28.94
"E01027922",9,6.767
"E01028505",6,17.319
"E01027814",7,12.779
"E01028713",7,13.24
"E01000426",8,10.343
"E01011237",2,43.175
"E01012404",4,24.871
"E01000437",7,13.671
"E01011270",10,3.658
