"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"1","E01000001",8,8.742
"2","E01000002",10,4.722
"3","E01000003",8,9.25
"4","E01000005",5,19.884
"5","E01000006",4,25.307
"6","E01000007",2,37.217
"7","E01000008",2,40.726
"8","E01000009",2,39.153
"9","E01000011",2,36.767
"10","E01000012",2,37.53
"11","E01000013",3,31.914
"12","E01000014",3,28.117
"13","E01000015",3,30.328
"14","E01000016",4,26.475
"15","E01000017",3,31.808
"16","E01000018",3,29.964
"17","E01000019",3,30.661
"18","E01000020",3,30.021
"19","E01000021",2,37.877
"20","E01000022",3,30.488
"21","E01000024",3,29.683
"22","E01000025",3,29.84
"23","E01000027",3,33.245
"24","E01000028",2,35.4
"25","E01000029",5,19.077
"26","E01000030",2,34.554
"27","E01000031",5,21.003
"28","E01000032",3,26.712
"29","E01000033",2,33.537
"30","E01000034",3,28.583
"31","E01000035",3,29.504
"32","E01000036",4,25.385
"33","E01000037",5,17.76
"34","E01000038",5,17.612
"35","E01000039",6,17.12
"36","E01000040",2,37.802
"37","E01000041",4,26.175
"38","E01000042",2,39.355
"39","E01000043",3,27.454
"40","E01000044",3,31.558
"41","E01000045",2,34.446
"42","E01000046",3,27.678
"43","E01000049",2,36.991
"44","E01000050",3,30.806
"45","E01000051",3,31.542
"46","E01000052",2,34.895
"47","E01000053",3,33.471
"48","E01000054",3,28.481
"49","E01000055",3,28.667
"50","E01000056",2,39.902
"51","E01000057",3,28.873
"52","E01000058",3,29.526
"53","E01000059",3,27.068
"54","E01000060",3,32.786
"55","E01000061",1,55.406
"56","E01000062",4,26.18
"57","E01000063",4,25.377
"58","E01000064",3,31.351
"59","E01000065",2,35.962
"60","E01000066",5,21.257
"61","E01000067",4,24.431
"62","E01000068",4,23.118
"63","E01000069",6,15.416
"64","E01000070",4,22.241
"65","E01000071",4,21.718
"66","E01000072",2,36.794
"67","E01000073",3,30.53
"68","E01000074",3,29.284
"69","E01000075",4,26.014
"70","E01000076",3,29.935
"71","E01000077",2,33.764
"72","E01000078",3,32.5
"73","E01000079",3,27.809
"74","E01000080",3,27.365
"75","E01000081",4,24.864
"76","E01000082",3,29.663
"77","E01000083",3,33.329
